=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.10.27 11:14:44 =~=~=~=~=~=~=~=~=~=~=~=
GyroXMax: 2.55, GyroXMin: -1.25, GyroYMax: 2.26, GyroYMin: -0.92, GyroZMax: 2.68, GyroZMin: -0.59
GyroX: 3.80, GyroY: 3.17, GyroZ: 3.27, AccelX: 5.08, AccelY: 13.05, AccelZ: 9.49
GyroXMax: 2.50, GyroXMin: -1.76, GyroYMax: 1.76, GyroYMin: -0.92, GyroZMax: 2.68, GyroZMin: -0.59
GyroX: 4.26, GyroY: 2.6	ÊbþAccelY: 0.08, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.08, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.17
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.11
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.11
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.11
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.10
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.10
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.10
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.10
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.08
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.08
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.08
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.07
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.07
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.07
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.07
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.07
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.07
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.07
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.07
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.09, AccelZ: 0.07
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.07, AccelZ: 0.07
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.07, AccelZ: 0.07
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.07, AccelZ: 0.08
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.07, AccelZ: 0.08
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.07, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.08, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.07, AccelY: 0.08, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.07, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.01, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.09, AccelY: 0.08, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
GyroX: 0.01, GyroY: 0.01, GyroZ: 0.00, AccelX: 0.08, AccelY: 0.08, AccelZ: 0.12
GyroXMax: -0.07, GyroXMin: -0.07, GyroYMax: -0.00, GyroYMin: -0.01, GyroZMax: 0.03, GyroZMin: 0.02
