Timestamp,AccelerometerX,AccelerometerY,"AccelerometerZ,","Timestamp,",GyroscopeX,GyroscopeY,GyroscopeZ
13600,2.09,0.74,10.72,13600,-0.2,-0.02,-0.08
13610,1.81,0.71,10.63,13610,-0.3,-0.04,-0.07
13620,1.66,0.76,10.58,13620,-0.33,-0.05,-0.04
13630,1.65,0.57,10.57,13630,-0.37,-0.07,-0.02
13640,1.46,0.54,10.35,13640,-0.37,-0.1,0
13650,1.34,0.32,10.09,13650,-0.27,-0.12,0.02
13660,1.22,0.21,9.94,13660,-0.16,-0.14,0.03
13670,1.08,0.25,9.78,13670,-0.1,-0.16,0.04
13680,0.98,0.43,9.02,13680,-0.14,-0.09,0.03
13690,1.21,0.37,9.47,13690,-0.11,-0.06,0.03
13700,1.36,0.66,10.19,13700,-0.06,-0.07,0.02
13710,1.23,0.9,10.71,13710,-0.1,-0.16,0.03
13720,0.98,1.31,11.26,13720,-0.26,-0.27,0.07
13730,0.84,1.79,11.77,13730,-0.26,-0.41,0.15
13740,0.99,1.78,11.96,13740,-0.25,-0.56,0.23
13750,1.27,1.41,11.67,13750,-0.31,-0.72,0.31
13760,1.73,1.06,10.94,13760,-0.49,-0.84,0.36
13770,2.09,0.29,10.73,13770,-0.1,-0.95,0.36
13780,2.3,-0.21,9.96,13780,0.06,-1,0.3
13790,2.45,-0.21,9.43,13790,0.13,-0.98,0.22
13800,2.53,-0.2,8.97,13800,0.2,-0.91,0.13
13810,2.34,-0.12,8.57,13810,0.22,-0.81,0.06
13820,2.43,-0.16,8.54,13820,0.32,-0.7,0
13830,2.88,-0.46,8.6,13830,0.41,-0.59,-0.08
13840,2.75,-0.94,8.44,13840,0.36,-0.5,-0.17
13850,2.94,-1.27,8.53,13850,0.43,-0.44,-0.27
13860,2.81,-1.19,8.76,13860,0.47,-0.42,-0.39
13870,3.1,-0.45,9.46,13870,0.42,-0.41,-0.52
13880,2.95,0.68,9.76,13880,0.34,-0.41,-0.61
13890,2.85,1.88,9.52,13890,0.21,-0.38,-0.62
13900,2.54,2.63,9.3,13900,0.02,-0.35,-0.55
13910,2.58,2.82,9.05,13910,-0.04,-0.32,-0.4
13920,2.83,2.37,8.79,13920,-0.11,-0.28,-0.27
13930,2.94,1.9,8.78,13930,-0.06,-0.24,-0.16
13940,3.12,1.35,9.01,13940,-0.02,-0.2,-0.1
13950,3.22,1.17,9.34,13950,0.04,-0.18,-0.07
13960,3.07,0.9,9.39,13960,0.17,-0.19,-0.07
13970,3.09,0.93,9.64,13970,0.27,-0.2,-0.09
13980,3.11,1.48,9.98,13980,0.28,-0.19,-0.12
13990,3.1,2,10.11,13990,0.22,-0.17,-0.13
14000,2.96,2.23,10.09,14000,0.1,-0.15,-0.12
14010,2.77,2,9.99,14010,-0.09,-0.15,-0.07
14020,2.92,1.95,10.23,14020,-0.18,-0.18,0
14030,2.92,1.49,10.26,14030,-0.1,-0.26,0.07
14040,2.96,0.88,10.23,14040,0.04,-0.36,0.11
14050,3.01,0.52,10,14050,0.25,-0.47,0.12
14060,3.28,0.27,9.51,14060,0.53,-0.56,0.1
14070,3.71,0.37,8.86,14070,0.74,-0.62,0.06
14080,3.42,0.63,7.99,14080,0.75,-0.62,0.02
14090,3.18,1.65,7.36,14090,0.68,-0.5,-0.02
14100,4.06,2.6,7.54,14100,0.93,-0.36,0
14110,3.48,3.22,7.87,14110,0.99,-0.24,0.06
14120,3.37,3.73,8.45,14120,0.88,-0.15,0.18
14130,3.4,4.14,8.91,14130,0.69,-0.13,0.35
14140,3.51,4.68,9.48,14140,0.49,-0.14,0.55
14150,3.13,5.02,9.53,14150,0.1,-0.16,0.77
14160,2.85,5.04,9.67,14160,-0.06,-0.16,0.98
14170,2.7,4.64,9.32,14170,-0.27,-0.15,1.16
14180,2.29,3.93,9.23,14180,-0.3,-0.12,1.3
14190,1.69,3.02,9.58,14190,-0.39,-0.07,1.33
14200,-7.07,5.14,9.37,14200,-1.82,-0.01,1.21
14210,1.47,4.34,10.41,14210,-1.29,0.05,1.48
14220,3.79,2.12,10.24,14220,-2.11,0.03,1.62
14230,2.97,0.15,8.94,14230,-2.03,-0.07,1.69
14240,3.19,-2.4,7.56,14240,-1.63,-0.15,1.65
14250,3.56,-3.77,7.39,14250,-1.32,-0.2,1.49
14260,4.03,-4.38,7.86,14260,-0.96,-0.16,1.17
14270,4.71,-5.2,7.98,14270,-0.56,-0.08,0.7
14280,4.38,-5.65,7.23,14280,-0.14,0.03,0.17
14290,3.49,-5.51,6.83,14290,0.3,0.18,-0.35
14300,2.74,-4.55,7.34,14300,0.5,0.35,-0.83
14310,2.32,-4.1,8.25,14310,0.6,0.52,-1.32
14320,2.44,-2.64,9.01,14320,0.53,0.63,-1.73
14330,2.46,-0.48,9.64,14330,0.33,0.64,-1.96
14340,3.4,1.7,9.52,14340,0.46,0.64,-2.04
14350,4.16,2.8,8.88,14350,0.41,0.7,-2
14360,4.39,3.9,9.85,14360,0.62,0.72,-1.85
14370,4.56,4.82,10.66,14370,0.55,0.62,-1.62
14380,4.41,5.44,11.01,14380,0.52,0.48,-1.32
14390,4.46,5.75,10.95,14390,0.5,0.37,-1.01
14400,4.38,5.49,10.88,14400,0.41,0.28,-0.7
14410,4.49,5.18,10.83,14410,0.28,0.22,-0.42
14420,4.49,4.47,10.93,14420,0.15,0.16,-0.17
14430,4.22,3.49,11.26,14430,0.09,0.07,0.03
14440,4.16,2.85,11.77,14440,0.08,-0.05,0.17
14450,4.27,2.14,12.02,14450,0.13,-0.23,0.27
14460,4.72,1.47,11.67,14460,0.19,-0.4,0.32
14470,4.84,1.1,10.86,14470,0.36,-0.57,0.36
14480,4.88,0.99,9.55,14480,0.44,-0.63,0.37
14490,5.06,0.8,7.23,14490,0.37,-0.54,0.36
14500,4.41,1.12,6.35,14500,0.26,-0.22,0.34
14510,3.9,0.55,7.97,14510,0.09,0.07,0.31
14520,3.66,-0.4,10.38,14520,0.06,0.2,0.18
14530,3.31,-0.77,11.81,14530,0.06,0.16,0.01
14540,3.07,-0.54,11.86,14540,0.09,0.03,-0.15
14550,3.05,0.3,10.99,14550,0.14,-0.06,-0.26
14560,3.72,1.11,10.21,14560,0.15,-0.06,-0.3
14570,4.07,1.55,9.91,14570,0.17,0,-0.31
14580,4.08,2.24,10.54,14580,0.24,0.02,-0.26
14590,4.19,2.9,11.43,14590,0.27,-0.03,-0.18
14600,4.63,3.58,11.92,14600,0.15,-0.14,-0.04
14610,4.61,3.63,11.41,14610,-0.02,-0.26,0.12
14620,4.65,3.12,10.98,14620,-0.04,-0.34,0.26
14630,4.32,1.5,10.43,14630,-0.02,-0.35,0.29
14640,4.47,0.16,10.11,14640,0.07,-0.34,0.2
14650,4.52,0,9.52,14650,0.06,-0.3,0.05
14660,4.4,0.63,9.12,14660,0.05,-0.25,-0.08
14670,4.82,2.38,9.54,14670,-0.02,-0.19,-0.13
14680,4.91,3.75,9.47,14680,-0.07,-0.14,-0.07
14690,5.03,3.93,8.94,14690,-0.12,-0.06,0.05
14700,5.23,3.77,8.91,14700,-0.19,0.04,0.17
14710,5.07,3.43,9,14710,-0.18,0.11,0.28
14720,4.69,2.45,8.9,14720,-0.11,0.15,0.38
