Timestamp,AccelerometerX,AccelerometerY,AccelerometerZ,Timestamp,GyroscopeX,GyroscopeY,GyroscopeZ
63548,-0.4,3.09,-7.65,63548,0.62,-0.22,-0.29
63558,-0.2,4.71,-8.16,63558,0.42,-0.3,-0.24
63568,0.16,4.24,-8.51,63568,0.28,-0.35,-0.16
63578,0.36,4.18,-8.25,63578,0.27,-0.39,-0.1
63588,0.29,4.6,-8.61,63588,0.24,-0.46,-0.04
63598,0.05,4.9,-9.32,63598,0.13,-0.51,0.05
63608,-0.19,4.46,-9.73,63608,-0.01,-0.51,0.15
63618,-0.01,3.64,-9.49,63618,-0.09,-0.52,0.21
63628,0.2,2.99,-9.91,63628,-0.11,-0.53,0.22
63638,0.28,3.14,-10.79,63638,-0.04,-0.51,0.22
63648,0.17,3.21,-11.95,63648,0.12,-0.45,0.25
63658,-0.05,2.38,-13.09,63658,0.2,-0.33,0.27
63668,-0.4,1.31,-12.99,63668,0.27,-0.17,0.25
63678,-0.72,0.52,-11.89,63678,0.34,-0.05,0.18
63688,-1.21,0,-10.53,63688,0.38,0.02,0.08
63698,-1.43,-0.18,-8.76,63698,0.41,0.01,-0.04
63708,-1.61,0.36,-7.15,63708,0.5,-0.09,-0.15
63718,-1.66,1.38,-6.21,63718,0.55,-0.26,-0.23
63728,-1.56,1.71,-6.55,63728,0.56,-0.42,-0.27
63738,-1.36,2.08,-7.26,63738,0.6,-0.56,-0.29
63748,-1.03,2.77,-8.59,63748,0.56,-0.65,-0.29
63758,-0.72,3.19,-9.9,63758,0.5,-0.66,-0.26
63768,-0.49,3.34,-10.65,63768,0.43,-0.62,-0.22
63778,-0.51,3.13,-11.03,63778,0.35,-0.55,-0.18
63788,-1.09,2.03,-11.15,63788,0.14,-0.47,-0.16
63798,-0.55,2.69,-10.67,63798,0.12,-0.39,-0.16
63808,-0.78,2.82,-10.4,63808,0.1,-0.34,-0.14
63818,-1.1,2.16,-9.52,63818,0.12,-0.32,-0.11
63828,-1.15,1.78,-9,63828,0.18,-0.34,-0.11
63838,-1.36,1.65,-9.13,63838,0.22,-0.38,-0.12
63848,-1.44,1.38,-9.47,63848,0.25,-0.39,-0.13
63858,-1.42,1.37,-9.24,63858,0.29,-0.4,-0.16
63868,-1.5,1.7,-8.82,63868,0.33,-0.43,-0.17
63878,-1.45,2.1,-8.87,63878,0.35,-0.48,-0.18
63888,-1.12,2.8,-9.99,63888,0.38,-0.51,-0.15
63898,-0.96,3.15,-11.47,63898,0.4,-0.47,-0.1
63908,-0.85,2.87,-12.62,63908,0.34,-0.36,-0.05
63918,-0.74,2.47,-13.01,63918,0.26,-0.2,-0.03
63928,-0.85,2.68,-12.14,63928,0.17,-0.03,-0.02
63938,-0.86,2.77,-11.26,63938,0.05,0.07,0.02
63948,-1.02,2.8,-10.26,63948,0.05,0.13,0.08
63958,-1.23,2.29,-9.28,63958,0.05,0.13,0.14
63968,-1.35,1.48,-8.39,63968,0.07,0.1,0.16
63978,-1.62,0.77,-8.02,63978,0.04,0.03,0.16
63988,-1.63,0.19,-8.03,63988,-0.03,-0.04,0.11
63998,-1.58,0.15,-7.82,63998,-0.03,-0.1,0.07
64008,-1.53,0.26,-7.63,64008,-0.03,-0.17,0.02
64018,-1.49,0.53,-7.59,64018,-0.04,-0.24,-0.01
64028,-1.43,0.75,-7.4,64028,-0.02,-0.33,-0.03
64038,-1.51,0.84,-7.49,64038,-0.04,-0.42,-0.05
64048,-1.51,0.97,-7.22,64048,0.02,-0.5,-0.05
