,,,,,GyroX,GyroY,GyroZ,GyroX_MAX,GyroX_MIN,GyroY_MAX,GyroY_MIN,GyroZ_MAX,GyroZ_MIN,GyroX_DIFF,GyroY_DIFF,GyroZ_DIFF
38860,2.23,-3.28,-9.12,38860,0.07,-0.07,-0.05,8.73,-5.58,8.73,-8.73,4.48,-3.6,14.31,17.46,8.08
38870,2.19,-3.09,-9.14,38870,-0.08,-0.11,-0.1,,,,,,,,,
38880,2.19,-3.09,-8.85,38880,-0.16,-0.17,-0.14,,,,,,,,,
38890,2.1,-2.93,-9.05,38890,-0.15,-0.21,-0.16,,,,,,,,,
38900,2.42,-2.74,-9.4,38900,-0.18,-0.23,-0.18,,,,,,,,,
38910,2.18,-2.45,-9.31,38910,-0.37,-0.22,-0.18,,,,,,,,,
38920,2.04,-2.2,-9.24,38920,-0.37,-0.26,-0.15,,,,,,,,,
38930,2.25,-2.42,-9.48,38930,-0.32,-0.3,-0.11,,,,,,,,,
38940,1.98,-2.67,-9.81,38940,-0.41,-0.32,-0.1,,,,,,,,,
38950,2.13,-3.08,-9.96,38950,-0.3,-0.36,-0.11,,,,,,,,,
38960,2.14,-3.37,-10.27,38960,-0.22,-0.35,-0.14,,,,,,,,,
38970,2.1,-3.45,-10.42,38970,-0.22,-0.32,-0.19,,,,,,,,,
38980,2.15,-3.17,-10.57,38980,-0.28,-0.27,-0.25,,,,,,,,,
38990,2.17,-2.8,-10.73,38990,-0.22,-0.23,-0.27,,,,,,,,,
39000,1.94,-2.74,-10.85,39000,-0.29,-0.18,-0.29,,,,,,,,,
39010,1.94,-2.49,-11.12,39010,-0.45,-0.12,-0.31,,,,,,,,,
39020,1.66,-2.15,-11.01,39020,-0.49,-0.07,-0.31,,,,,,,,,
39030,1.54,-1.71,-11.15,39030,-0.42,-0.03,-0.29,,,,,,,,,
39040,1.8,-1.61,-11.28,39040,-0.49,0.04,-0.24,,,,,,,,,
39050,2.08,-1.52,-11.29,39050,-0.6,0.11,-0.15,,,,,,,,,
39060,2.24,-1.79,-11.23,39060,-0.54,0.23,-0.04,,,,,,,,,
39070,2.19,-2.21,-10.94,39070,-0.43,0.34,0.05,,,,,,,,,
39080,1.64,-2.39,-10.53,39080,-0.17,0.43,0.11,,,,,,,,,
39090,2.14,-2.68,-9.98,39090,0.1,0.46,0.14,,,,,,,,,
39100,2.25,-3.77,-9.93,39100,0.23,0.5,0.08,,,,,,,,,
39110,2.06,-4.43,-9.85,39110,0.22,0.54,-0.05,,,,,,,,,
39120,1.91,-4.67,-9.63,39120,0.22,0.53,-0.23,,,,,,,,,
39130,1.95,-4.37,-9.45,39130,0.1,0.49,-0.42,,,,,,,,,
39140,2.43,-3.68,-9.12,39140,0.02,0.44,-0.55,,,,,,,,,
39150,2.87,-2.85,-8.67,39150,-0.28,0.39,-0.63,,,,,,,,,
39160,3.14,-2.43,-8.23,39160,-0.43,0.34,-0.65,,,,,,,,,
39170,3.29,-2.34,-8.15,39170,-0.28,0.27,-0.63,,,,,,,,,
39180,3.17,-2.58,-8.32,39180,-0.1,0.2,-0.61,,,,,,,,,
39190,3.03,-3.02,-8.68,39190,0.1,0.09,-0.63,,,,,,,,,
39200,2.27,-3.65,-9.3,39200,0.11,-0.03,-0.68,,,,,,,,,
39210,1.64,-4.3,-10.34,39210,0.05,-0.18,-0.79,,,,,,,,,
39220,1.15,-4.26,-11.41,39220,-0.03,-0.26,-0.95,,,,,,,,,
39230,1.36,-3.74,-12.34,39230,-0.22,-0.27,-1.1,,,,,,,,,
39240,1.49,-2.6,-13.32,39240,-0.07,-0.17,-1.18,,,,,,,,,
39250,2.15,-1.6,-13.48,39250,0.3,0.06,-1.18,,,,,,,,,
39260,3.42,-1.24,-13.6,39260,0.71,0.39,-1.14,,,,,,,,,
39270,4.3,-1.21,-13.29,39270,1.01,0.76,-1.07,,,,,,,,,
39280,3.65,-1.47,-12.59,39280,0.78,1.12,-1.04,,,,,,,,,
39290,2.71,-1.66,-11.67,39290,0.63,1.37,-1.02,,,,,,,,,
39300,2.36,-1.43,-10.86,39300,0.89,1.51,-0.98,,,,,,,,,
39310,2.28,-0.91,-10.54,39310,1.3,1.59,-0.89,,,,,,,,,
39320,2.4,-0.26,-10.33,39320,1.58,1.63,-0.76,,,,,,,,,
39330,2.43,0.08,-9.94,39330,1.71,1.63,-0.57,,,,,,,,,
39340,2.48,-0.42,-9.53,39340,1.86,1.66,-0.4,,,,,,,,,
39350,3.13,-1.67,-8.72,39350,1.95,1.66,-0.29,,,,,,,,,
39360,3.34,-2.73,-7.94,39360,2,1.63,-0.25,,,,,,,,,
39370,3.42,-3.59,-7.11,39370,2.05,1.59,-0.29,,,,,,,,,
39380,3.73,-4.1,-6.55,39380,1.69,1.55,-0.43,,,,,,,,,
39390,3.12,-4.11,-6.23,39390,1.71,1.46,-0.58,,,,,,,,,
39400,3.21,-3.38,-6.15,39400,1.51,1.34,-0.69,,,,,,,,,
39410,3.35,-2.24,-6.24,39410,1.25,1.23,-0.73,,,,,,,,,
39420,3.74,-1.55,-6.04,39420,0.99,1.14,-0.69,,,,,,,,,
39430,4.09,-1.79,-5.77,39430,0.78,1.05,-0.59,,,,,,,,,
39440,4.9,-2.1,-5.26,39440,0.67,0.93,-0.46,,,,,,,,,
39450,4.73,-2.55,-4.76,39450,0.56,0.76,-0.32,,,,,,,,,
39460,4.33,-2.54,-4.41,39460,0.33,0.55,-0.23,,,,,,,,,
39470,3.86,-2.32,-4.67,39470,0.29,0.31,-0.12,,,,,,,,,
39480,3.82,-2.28,-5.58,39480,0.22,0.09,-0.01,,,,,,,,,
39490,4.51,-2.68,-6.48,39490,0.1,-0.06,0.1,,,,,,,,,
39500,4.36,-2.74,-7.39,39500,-0.02,-0.14,0.22,,,,,,,,,
39510,4.3,-3.26,-8.31,39510,-0.27,-0.14,0.28,,,,,,,,,
39520,4.29,-3.71,-8.93,39520,-0.31,-0.1,0.33,,,,,,,,,
39530,4.65,-3.87,-9.09,39530,-0.58,-0.06,0.36,,,,,,,,,
39540,5.18,-3.92,-8.93,39540,-0.85,-0.02,0.42,,,,,,,,,
39550,5.83,-4.23,-8.53,39550,-1.08,0.01,0.48,,,,,,,,,
39560,5.85,-4.21,-7.36,39560,-1.26,-0.01,0.52,,,,,,,,,
39570,5.94,-4.19,-5.74,39570,-1.45,-0.19,0.59,,,,,,,,,
39580,7.07,-5.61,-5.98,39580,-1.54,-0.39,0.62,,,,,,,,,
39590,6.85,-7.03,-6.79,39590,-1.31,-0.51,0.51,,,,,,,,,
39600,6.24,-6.98,-7.16,39600,-1.25,-0.61,0.33,,,,,,,,,
39610,5.99,-7.27,-8.41,39610,-1.17,-0.69,0.11,,,,,,,,,
39620,5.95,-7.31,-9.35,39620,-1.07,-0.69,-0.11,,,,,,,,,
39630,6.17,-7.05,-10.15,39630,-0.86,-0.6,-0.33,,,,,,,,,
39640,6.04,-6.7,-10.28,39640,-0.82,-0.48,-0.53,,,,,,,,,
39650,5.86,-6.02,-10.03,39650,-0.73,-0.36,-0.71,,,,,,,,,
39660,5.84,-5.21,-9.26,39660,-0.7,-0.27,-0.85,,,,,,,,,
39670,5.87,-4.55,-8.39,39670,-0.63,-0.23,-0.94,,,,,,,,,
39680,5.67,-4.05,-7.81,39680,-0.57,-0.23,-1.02,,,,,,,,,
39690,5.46,-3.62,-7.38,39690,-0.5,-0.24,-1.08,,,,,,,,,
39700,5.11,-3.25,-7.45,39700,-0.35,-0.28,-1.13,,,,,,,,,
39710,4.32,-2.47,-7.86,39710,-0.19,-0.31,-1.13,,,,,,,,,
39720,4.05,-1.44,-8.21,39720,-0.2,-0.34,-1.06,,,,,,,,,
39730,3.74,-1.07,-8.38,39730,-0.34,-0.36,-0.94,,,,,,,,,
39740,4.16,-0.94,-8.96,39740,-0.41,-0.37,-0.8,,,,,,,,,
39750,4.57,-0.49,-9.59,39750,-0.29,-0.34,-0.63,,,,,,,,,
39760,5.1,-0.39,-10.28,39760,-0.18,-0.21,-0.45,,,,,,,,,
39770,4.7,-1.1,-9.15,39770,0.2,-0.09,-0.28,,,,,,,,,
39780,5.21,-1.56,-7.96,39780,0.49,-0.1,-0.15,,,,,,,,,
39790,5.37,-3.11,-7.78,39790,0.35,-0.15,-0.15,,,,,,,,,
39800,4.62,-4.78,-8.18,39800,0.46,-0.18,-0.27,,,,,,,,,
39810,4.6,-5.17,-9.04,39810,0.28,-0.18,-0.51,,,,,,,,,
39820,4,-4.33,-7.09,39820,-0.2,-0.29,-0.73,,,,,,,,,
39830,4.46,-2.45,-6.73,39830,-0.66,-0.55,-0.82,,,,,,,,,
39840,5.32,-0.36,-8.39,39840,-0.77,-0.75,-0.74,,,,,,,,,
39850,5.95,1.36,-10.72,39850,-0.61,-0.75,-0.49,,,,,,,,,
39860,4.1,2.42,-11.91,39860,-0.75,-0.61,-0.19,,,,,,,,,
39870,5.98,1.7,-12.02,39870,-0.32,-0.42,0.13,,,,,,,,,
39880,5.62,0.28,-11.33,39880,-0.18,-0.23,0.36,,,,,,,,,
39890,5.16,-0.69,-9.69,39890,0.11,-0.11,0.49,,,,,,,,,
39900,4.86,-1.16,-8.11,39900,0.25,-0.12,0.56,,,,,,,,,
39910,4.99,-1.33,-7.85,39910,0.08,-0.19,0.58,,,,,,,,,
39920,4.95,-1.11,-8.81,39920,-0.11,-0.24,0.62,,,,,,,,,
39930,6.74,-0.04,-8.65,39930,-1.01,-0.05,0.58,,,,,,,,,
39940,3.72,-2.28,-4.28,39940,-0.77,-0.26,0.73,,,,,,,,,
39950,4.88,-2.59,-3.68,39950,-1.32,-0.6,0.65,,,,,,,,,
39960,4.18,-2.86,-2.87,39960,-1.64,-1.02,0.56,,,,,,,,,
39970,3.97,-4.02,-2.25,39970,-1.86,-1.48,0.39,,,,,,,,,
39980,4.43,-3.54,-4.44,39980,-1.6,-1.86,0.19,,,,,,,,,
39990,4.37,-2.47,-7.55,39990,-1.16,-2.06,0.1,,,,,,,,,
40000,3.46,0.06,-12.14,40000,-0.66,-2.04,0.11,,,,,,,,,
40010,4.13,0.92,-14.51,40010,-0.25,-1.79,0.21,,,,,,,,,
40020,3.75,-2.92,-13.94,40020,0.19,-1.54,0.22,,,,,,,,,
40030,4.6,-1.92,-15.02,40030,0.12,-1.26,0.09,,,,,,,,,
40040,4.69,0.78,-14.94,40040,0.14,-0.93,0.06,,,,,,,,,
40050,4.21,3.67,-13.11,40050,-0.05,-0.62,0.2,,,,,,,,,
40060,3.9,4.01,-10.46,40060,-0.23,-0.5,0.45,,,,,,,,,
40070,3.54,2.31,-8.7,40070,-0.38,-0.55,0.67,,,,,,,,,
40080,3.09,-0.95,-8.7,40080,-0.5,-0.68,0.77,,,,,,,,,
40090,3.09,-3.64,-8.77,40090,-0.68,-0.82,0.7,,,,,,,,,
40100,3.58,-5,-11.21,40100,-0.99,-1.01,0.56,,,,,,,,,
40110,3.02,-5.87,-14.58,40110,-0.67,-1.11,0.41,,,,,,,,,
40120,3.05,-6.12,-20.19,40120,-0.38,-1.07,0.24,,,,,,,,,
40130,3,-5.59,-25.85,40130,0.16,-0.85,0.08,,,,,,,,,
40140,3.39,-3.51,-33.09,40140,0.34,-0.35,-0.03,,,,,,,,,
40150,3.85,-2.01,-39.18,40150,-0.2,0.51,-0.08,,,,,,,,,
40160,4.22,-0.72,-39.23,40160,-1.22,1.72,-0.08,,,,,,,,,
40170,3.15,0.49,-39.23,40170,-1.96,3.07,0.02,,,,,,,,,
40180,1.71,1.65,-39.23,40180,-2.16,4.63,0.25,,,,,,,,,
40190,-2.02,2.9,-39.23,40190,-1.63,6.18,0.62,,,,,,,,,
40200,-6.79,3.76,-39.23,40200,-0.59,7.69,1,,,,,,,,,
40210,-11.11,4.34,-31.75,40210,0.08,8.73,1.28,,,,,,,,,
40220,-13.88,5.57,-20.9,40220,0.11,8.73,1.48,,,,,,,,,
40230,-15.54,7.57,-14.75,40230,-0.38,8.73,1.74,,,,,,,,,
40240,-16.86,7.84,-10.59,40240,-1.07,8.73,2.12,,,,,,,,,
40250,-18.26,3.82,-6.73,40250,-1.39,8.73,2.53,,,,,,,,,
40260,-20.25,-1.96,-1.67,40260,-1.51,8.73,2.67,,,,,,,,,
40270,-20.33,-9.25,6.35,40270,-1.27,8.73,2.52,,,,,,,,,
40280,-19.58,-13.6,14.67,40280,-0.97,8.73,2.04,,,,,,,,,
40290,-18.03,-14.76,22.71,40290,-1.24,8.73,1.43,,,,,,,,,
40300,-15.71,-13.58,27.63,40300,-1.81,8.15,0.85,,,,,,,,,
40310,-15,-14.89,32.7,40310,-3.12,7.09,0.29,,,,,,,,,
40320,-11.99,-20.02,39.23,40320,-3.34,5.74,-0.32,,,,,,,,,
40330,-9.22,-21.31,39.23,40330,-3.25,4.03,-1.19,,,,,,,,,
40340,-6.95,-18.98,39.23,40340,-2.49,1.93,-2.01,,,,,,,,,
40350,-6.2,-9.89,39.23,40350,-1.5,-0.87,-2.53,,,,,,,,,
40360,-9.27,-1.58,39.23,40360,-0.74,-4.28,-2.55,,,,,,,,,
40370,-16.86,2.53,39.23,40370,0.17,-8.05,-2.3,,,,,,,,,
40380,-33.91,4.54,39.23,40380,1.63,-8.73,-1.71,,,,,,,,,
40390,-39.23,-2.61,39.23,40390,2.97,-8.73,-0.99,,,,,,,,,
40400,-39.23,-15.88,38.17,40400,4.46,-8.73,-0.52,,,,,,,,,
40410,-39.23,-30.44,6.11,40410,6.48,-8.73,-0.33,,,,,,,,,
40420,-39.23,-36.14,-39.23,40420,7.58,-8.73,-0.43,,,,,,,,,
40430,-39.23,-26.79,-39.23,40430,5.57,-8.73,-0.93,,,,,,,,,
40440,-24.85,-13.65,-39.23,40440,0.84,-8.73,-1.57,,,,,,,,,
40450,7.39,10.9,-39.23,40450,-1.73,-3.24,-1.64,,,,,,,,,
40460,1.34,21.96,-39.23,40460,-4.73,5.79,-0.43,,,,,,,,,
