Timestamp,AccelerometerX,AccelerometerY,AccelerometerZ,Timestamp,GyroscopeX,GyroscopeY,GyroscopeZ
0,2.38,1.85,11.57,0,-0.15,0.02,-0.26
10,2.31,1.81,11.5,10,-0.15,0.02,-0.25
20,2.42,1.86,11.57,20,-0.16,0.01,-0.25
30,2.47,1.82,11.65,30,-0.16,0.01,-0.26
40,2.5,1.79,11.61,40,-0.15,0.02,-0.27
50,2.4,1.8,11.58,50,-0.15,0.03,-0.28
60,2.25,1.87,11.62,60,-0.15,0.03,-0.28
70,2.23,1.85,11.56,70,-0.15,0.03,-0.27
80,2.33,1.85,11.53,80,-0.15,0.03,-0.26
90,2.29,1.85,11.56,90,-0.15,0.03,-0.26
100,2.18,1.86,11.55,100,-0.14,0.02,-0.25
110,2.2,1.89,11.5,110,-0.14,0.02,-0.24
120,2.31,1.85,11.55,120,-0.15,0.03,-0.24
130,2.33,1.89,11.64,130,-0.14,0.03,-0.24
140,2.29,1.91,11.51,140,-0.14,0.03,-0.25
150,2.23,1.92,11.36,150,-0.14,0.03,-0.25
160,2.18,1.88,11.35,160,-0.16,0.04,-0.24
170,2.25,1.92,11.6,170,-0.16,0.03,-0.23
180,2.3,1.9,11.59,180,-0.16,0.03,-0.23
190,2.25,1.87,11.5,190,-0.16,0.02,-0.23
200,2.12,1.93,11.51,200,-0.17,0.02,-0.22
210,1.92,1.99,11.65,210,-0.18,0.01,-0.2
220,1.79,2.06,11.74,220,-0.17,0.01,-0.18
230,1.56,2.27,11.87,230,-0.16,-0.01,-0.15
240,1.1,2.41,11.93,240,-0.15,-0.04,-0.09
250,0.66,2.7,12.11,250,-0.13,-0.07,0
260,0.21,2.85,12.27,260,-0.1,-0.09,0.12
270,-0.31,2.98,12.33,270,-0.06,-0.14,0.28
280,-1.24,2.97,12.45,280,-0.04,-0.22,0.5
290,-1.68,2.84,12.82,290,-0.02,-0.36,0.81
300,-1.62,2.56,12.3,300,0.04,-0.59,1.18
310,-0.66,1.98,11.08,310,0.06,-0.84,1.61
320,1.8,1.07,10,320,0.02,-1.01,2.02
330,6.34,-0.18,9.77,330,0,-1,2.21
340,11.04,-1.63,9.48,340,-0.03,-0.91,2.03
350,14.3,-2.38,9.06,350,-0.1,-0.87,1.57
360,16.24,-2.53,8.5,360,-0.21,-0.84,1.03
370,18.23,-3.85,8.6,370,-0.31,-0.77,0.47
380,20.07,-4.23,7.62,380,-0.45,-0.51,-0.28
390,23.91,-5.44,7.57,390,-0.66,-0.37,-1.29
400,25.59,-7.02,8.22,400,-0.84,0.09,-2.74
410,27.36,-8.14,10.33,410,-0.87,0.64,-4.07
420,30.66,-11.59,8.57,420,-1.07,0.11,-5.95
430,26.7,-15.13,7.91,430,-1.46,0.15,-8.05
440,19.33,-16.86,9.13,440,-1.72,0.38,-8.73
450,12.64,-19.09,9.33,450,-1.92,0.21,-8.73
460,6.94,-21.48,9.22,460,-2.22,-0.05,-8.73
470,0.76,-21.84,11.12,470,-2.56,-0.19,-8.73
480,-8.04,-18.79,15.33,480,-2.58,0,-8.73
490,-13.63,-16.11,17.79,490,-2.17,0.25,-8.73
500,-17.48,-10.98,18.42,500,-1.67,0.86,-8.73
510,-23.62,-5.91,20.5,510,-1.06,1.37,-8.73
520,-25.43,-2.04,18.34,520,-0.38,1.37,-7.43
530,-24.63,0.42,13.89,530,-0.18,0.9,-5.91
540,-21.31,0.53,11.52,540,-0.41,0.17,-4.52
550,-17.4,0.62,12.45,550,-0.63,-0.32,-3.52
560,-15.33,0.51,13.51,560,-0.58,-0.39,-2.79
570,-14.15,0.49,13.1,570,-0.45,-0.33,-2.18
580,-13.74,0.56,12.57,580,-0.38,-0.34,-1.62
590,-12.97,0.66,12.61,590,-0.36,-0.43,-0.99
600,-12.28,0.84,12.97,600,-0.32,-0.42,-0.47
610,-12.12,1.19,13.3,610,-0.24,-0.39,0.05
620,-11.87,1.29,13.04,620,-0.16,-0.43,0.63
630,-11.24,1.09,12.76,630,-0.12,-0.49,1.2
640,-10.18,0.56,13.15,640,-0.06,-0.55,1.73
650,-8.41,0.01,13.05,650,0.07,-0.54,2.17
660,-6.3,-0.8,12.3,660,0.2,-0.42,2.48
670,-5.26,-1.19,11.97,670,0.25,-0.2,2.68
680,-5.84,-0.99,13.04,680,0.27,-0.02,2.9
690,-6.64,-0.8,14.01,690,0.36,0.07,3.22
700,-7.19,-0.89,14.95,700,0.48,0.08,3.61
710,-7.9,-1.01,15.61,710,0.66,0.04,4.06
720,-8.31,-1.45,15.31,720,0.84,-0.04,4.59
730,-8.12,-2.33,15.18,730,1.01,-0.12,5.13
740,-6.96,-3.39,14.1,740,1.19,-0.2,5.65
750,-4.89,-4.78,12.72,750,1.29,-0.22,6.04
760,-3.98,-5.26,12.81,760,1.32,-0.1,6.3
770,-4.04,-5.68,13.4,770,1.43,0.02,6.56
780,-5.8,-6.05,14.25,780,1.59,0.2,6.97
790,-6.91,-7.04,14.57,790,1.78,0.25,7.52
800,-5.05,-9.06,14.23,800,2.02,0.32,8.12
810,-1.9,-10.73,14.36,810,2.15,0.48,8.49
820,1.34,-11.97,14.3,820,2.28,0.29,8.68
830,5.6,-12.81,11.4,830,2.32,-0.08,8.59
840,8.62,-12.37,8.67,840,2.16,-0.24,8.21
850,10.59,-11.21,8.51,850,1.88,-0.32,7.71
860,12.12,-10.21,9.68,860,1.76,-0.28,7.18
870,14.91,-9.54,9.83,870,1.73,-0.19,6.55
880,16.38,-8.6,11.11,880,1.71,0.06,5.75
890,17.36,-7.54,11.61,890,1.85,0.3,4.96
900,18.32,-7.02,10.6,900,1.96,0.52,4.19
910,19.12,-6.63,8.95,910,1.93,0.71,3.39
920,18.84,-6.07,6.95,920,1.69,0.77,2.59
930,18.18,-5.36,6.06,930,1.3,0.64,1.87
940,17.61,-4.81,5.77,940,0.86,0.4,1.24
950,17.27,-4.39,5.87,950,0.43,0.2,0.64
960,16.88,-4.19,6.38,960,0.03,0.07,0.01
970,16.86,-4.02,7.02,970,-0.29,-0.1,-0.57
980,17.35,-3.97,7.14,980,-0.57,-0.26,-1.16
990,18.68,-4.16,6.83,990,-0.82,-0.3,-1.82
1000,19.97,-4.6,6.97,1000,-1.03,-0.16,-2.62
1010,19.79,-5.15,7.09,1010,-1.23,-0.01,-3.53
1020,18.85,-6.04,7.25,1020,-1.44,0.09,-4.42
1030,17.46,-7.09,7.53,1030,-1.69,0.08,-5.3
1040,14.88,-7.89,8.12,1040,-1.97,-0.01,-6.11
1050,11.75,-8.51,9.08,1050,-2.2,-0.11,-6.74
1060,9.75,-9.22,9.78,1060,-2.4,-0.27,-7.2
1070,8.29,-9.82,10.66,1070,-2.56,-0.36,-7.59
1080,6.74,-10.34,11.79,1080,-2.62,-0.37,-7.94
1090,4.22,-10.53,12.64,1090,-2.63,-0.29,-8.18
1100,3.6,-10.69,13.56,1100,-2.55,-0.21,-8.34
1110,2.86,-11.02,14.19,1110,-2.41,-0.09,-8.54
1120,-0.44,-10.64,13.65,1120,-2.27,-0.02,-8.62
1130,-3.71,-9.51,13.01,1130,-2.26,-0.13,-8.41
1140,-4.27,-8.69,12.93,1140,-2.38,-0.48,-7.99
