Timestamp',AccelerometerX,AccelerometerY,AccelerometerZ,,,,Timestamp',GyroscopeX,GyroscopeY,GyroscopeZ
0,1.07,4.62,9.36,,,,0,0.24,0.1,-0.19
10,1.27,4.98,7.73,,,,10,0.01,-0.02,-0.24
20,0.96,4.83,7.94,,,,20,-0.31,-0.02,-0.29
30,0.58,4.97,9.63,,,,30,-0.5,-0.05,-0.31
40,0.94,5.08,10.75,,,,40,-0.47,0.05,-0.35
50,1.61,4.93,10.85,,,,50,-0.37,0.2,-0.45
60,1.78,4.64,10.69,,,,60,-0.35,0.19,-0.6
70,1.31,5.08,10.48,,,,70,-0.34,0.13,-0.73
80,0.12,5.19,10.57,,,,80,-0.36,0.08,-0.76
90,-0.64,5.19,10.23,,,,90,-0.4,-0.06,-0.65
100,-0.45,4.84,9.38,,,,100,-0.54,-0.29,-0.5
110,-0.12,4.58,8.39,,,,110,-0.79,-0.66,-0.37
120,0.04,4.83,8.46,,,,120,-1.08,-0.8,-0.31
130,-0.47,5.24,8.95,,,,130,-1.29,-0.87,-0.24
140,-1.06,5.28,10.52,,,,140,-1.43,-1.04,-0.02
150,0.28,5.21,11.92,,,,150,-1.41,-1.51,0.23
160,1.12,4.8,12.93,,,,160,-1.21,-1.68,0.33
170,2.08,4.71,11.98,,,,170,-1.01,-1.76,0.29
180,1.09,4.46,11.69,,,,180,-0.8,-2.12,0.38
190,1.35,5.1,12.14,,,,190,-0.7,-2,0.44
200,1.81,4.66,11.72,,,,200,-0.58,-2.05,0.48
210,1.06,4.6,11.58,,,,210,-0.45,-1.67,0.5
220,2.57,4.45,11.25,,,,220,-0.33,-1.5,0.57
230,3.34,4.24,11.35,,,,230,-0.21,-1.26,0.45
240,3.41,4.1,11.03,,,,240,-0.11,-0.88,0.32
250,2.9,4.19,10.65,,,,250,-0.07,-0.61,0.23
260,2.97,5.59,10.91,,,,260,-0.08,-0.5,0.21
270,1.95,2.53,11.41,,,,270,-0.02,-0.56,0.3
280,3.39,4.03,9.01,,,,280,-0.21,-0.4,0.26
290,3.36,3.65,10.38,,,,290,-0.29,-0.16,0.16
300,3.65,4.01,11.07,,,,300,-0.26,-0.05,0.06
310,4.2,3.86,10.64,,,,310,-0.15,0.2,-0.12
320,3.8,3.81,9.82,,,,320,-0.11,0.45,-0.27
330,3.17,4.03,9.8,,,,330,-0.16,0.64,-0.38
340,2.6,4.27,10.59,,,,340,-0.16,0.71,-0.4
350,2.36,4.33,10.64,,,,350,-0.11,0.67,-0.36
360,2.54,4.1,10.3,,,,360,-0.11,0.64,-0.34
370,2.68,4.15,10.32,,,,370,-0.13,0.68,-0.35
380,2.68,4.2,10.65,,,,380,-0.12,0.72,-0.37
390,2.61,4.2,10.92,,,,390,-0.08,0.75,-0.4
400,2.4,4.21,10.88,,,,400,-0.02,0.8,-0.44
410,2.09,4.07,11.04,,,,410,0.02,0.83,-0.45
420,1.94,4.14,10.95,,,,420,0.04,0.84,-0.45
430,1.59,4.14,10.71,,,,430,0.02,0.81,-0.44
440,1.42,4.2,10.88,,,,440,-0.05,0.73,-0.39
450,1.44,4.26,11.27,,,,450,-0.09,0.62,-0.33
460,1.71,4.21,11.32,,,,460,-0.1,0.55,-0.31
470,1.72,4.27,11.49,,,,470,-0.1,0.52,-0.3
480,1.76,4.25,11.61,,,,480,-0.08,0.5,-0.3
490,1.95,4.25,11.53,,,,490,-0.07,0.47,-0.31
500,1.95,4.27,11.77,,,,500,-0.04,0.47,-0.34
510,1.7,4.17,11.6,,,,510,0.01,0.46,-0.35
520,1.6,4.07,11.11,,,,520,-0.01,0.42,-0.34
530,1.66,4.12,10.78,,,,530,-0.07,0.41,-0.32
540,2.18,4.14,10.98,,,,540,-0.11,0.41,-0.34
550,2.2,4.18,11.26,,,,550,-0.09,0.43,-0.41
560,1.99,4.15,11.02,,,,560,-0.08,0.38,-0.45
570,1.54,4.31,10.78,,,,570,-0.12,0.3,-0.46
580,1.07,4.21,10.66,,,,580,-0.16,0.26,-0.44
590,1.07,4.24,10.68,,,,590,-0.21,0.2,-0.38
600,1.2,4.23,10.54,,,,600,-0.24,0.15,-0.36
610,1.19,4.2,10.5,,,,610,-0.28,0.12,-0.34
620,1.19,4.23,10.72,,,,620,-0.31,0.11,-0.32
630,1.18,4.2,10.7,,,,630,-0.3,0.12,-0.31
640,1.13,4.24,10.7,,,,640,-0.31,0.11,-0.29
650,0.93,4.21,10.67,,,,650,-0.3,0.09,-0.26
660,1.01,4.21,10.56,,,,660,-0.31,0.08,-0.23
670,0.97,4.17,10.68,,,,670,-0.32,0.08,-0.2
680,0.98,4.14,10.66,,,,680,-0.33,0.07,-0.17
690,1.06,4.06,10.66,,,,690,-0.35,0.07,-0.15
700,1.04,4.04,10.54,,,,700,-0.37,0.07,-0.15
710,0.94,4.13,10.48,,,,710,-0.41,0.04,-0.12
720,1.03,4.06,10.58,,,,720,-0.44,0.01,-0.1
730,1.33,3.98,10.55,,,,730,-0.46,-0.02,-0.09
740,1.41,3.93,10.54,,,,740,-0.49,-0.03,-0.1
750,1.23,3.92,10.83,,,,750,-0.51,-0.03,-0.11
760,1.12,3.99,11.03,,,,760,-0.51,-0.03,-0.11
770,1.11,4.06,11.32,,,,770,-0.5,-0.03,-0.09
780,1.25,4.02,11.43,,,,780,-0.46,-0.02,-0.08
790,1.64,4.02,11.18,,,,790,-0.44,-0.02,-0.08
800,1.83,3.95,11.08,,,,800,-0.45,-0.02,-0.11
810,2.02,3.87,10.93,,,,810,-0.48,-0.01,-0.15
820,2.19,3.89,11.44,,,,820,-0.52,0.01,-0.21
830,2.12,4,12.02,,,,830,-0.51,0.02,-0.27
840,2.02,4.13,12.25,,,,840,-0.48,0.04,-0.33
850,1.96,4.41,12.49,,,,850,-0.43,0.1,-0.4
