Timestamp,AccelerometerX,AccelerometerY,AccelerometerZ,Timestamp,GyroscopeX,GyroscopeY,GyroscopeZ,,Accel Min,-39.23
0,0.41,4.36,10.09,0,-0.5,-0.49,0.13,,Accel Max,39.23
10,1,4,10.76,10,-0.56,-0.32,0.18,,Gyro Min,-8.73
20,1.98,4.17,11.01,20,-0.55,-0.37,0.15,,Gyro Max,8.73
30,2.3,4.18,10.98,30,-0.51,-0.33,0.02,,,
40,1.9,3.84,11.11,40,-0.46,-0.75,-0.09,,,
50,1.16,3.72,10.95,50,-0.52,-0.48,-0.1,,,
60,1.87,3.7,11.27,60,-0.47,-0.3,-0.11,,,
70,2.19,3.87,10.74,70,-0.44,-0.38,-0.15,,,
80,2.29,3.54,10.68,80,-0.44,-0.34,-0.23,,,
90,2.19,3.52,10.43,90,-0.44,-0.3,-0.3,,,
100,2.01,3.65,10.37,100,-0.45,-0.26,-0.35,,,
110,1.69,3.75,10.48,110,-0.46,-0.24,-0.38,,,
120,1.5,3.59,10.69,120,-0.45,-0.23,-0.37,,,
130,1.58,3.55,10.98,130,-0.43,-0.2,-0.37,,,
140,1.71,3.54,10.97,140,-0.39,-0.15,-0.38,,,
150,1.5,3.51,11.09,150,-0.37,-0.1,-0.39,,,
160,1.39,3.47,10.99,160,-0.35,-0.06,-0.39,,,
170,1.45,3.36,11.11,170,-0.35,-0.03,-0.38,,,
180,1.53,3.41,11.39,180,-0.34,-0.01,-0.38,,,
190,1.48,3.47,11.63,190,-0.3,0.01,-0.39,,,
200,1.23,3.63,11.88,200,-0.24,0.06,-0.39,,,
210,0.53,3.93,12.4,210,-0.15,0.12,-0.36,,,
220,0.19,3.98,12.55,220,-0.02,0.15,-0.27,,,
230,0.51,3.97,12.17,230,0.11,0.2,-0.18,,,
240,0.73,3.86,11.49,240,0.17,0.25,-0.13,,,
250,0.91,3.81,10.9,250,0.15,0.29,-0.11,,,
260,1.02,3.68,10.83,260,0.08,0.29,-0.1,,,
270,1.19,3.72,11.13,270,0.02,0.26,-0.09,,,
280,1.25,3.75,11.18,280,-0.03,0.21,-0.09,,,
290,1.27,3.73,11.21,290,-0.07,0.17,-0.09,,,
300,1.17,3.7,11.28,300,-0.1,0.14,-0.1,,,
310,1.12,3.73,11.32,310,-0.14,0.14,-0.09,,,
320,1.1,3.78,11.48,320,-0.14,0.12,-0.08,,,
330,1.15,3.68,11.49,330,-0.14,0.11,-0.07,,,
340,1.44,3.56,11.47,340,-0.14,0.11,-0.08,,,
350,1.6,3.54,11.51,350,-0.14,0.12,-0.11,,,
360,1.44,3.59,11.46,360,-0.13,0.14,-0.15,,,
370,1.29,3.53,11.36,370,-0.12,0.14,-0.18,,,
380,1.23,3.53,11.25,380,-0.13,0.15,-0.2,,,
390,1.14,3.53,11.36,390,-0.14,0.15,-0.21,,,
400,1.05,3.6,11.35,400,-0.14,0.15,-0.21,,,
410,1.03,3.48,11.29,410,-0.13,0.15,-0.22,,,
420,1.07,3.51,11.08,420,-0.13,0.16,-0.23,,,
430,0.99,3.53,11.04,430,-0.13,0.17,-0.23,,,
440,1.03,3.53,10.99,440,-0.14,0.17,-0.23,,,
450,1.09,3.45,11,450,-0.15,0.16,-0.24,,,
460,1.1,3.43,10.88,460,-0.16,0.15,-0.26,,,
470,1.11,3.43,10.76,470,-0.18,0.14,-0.27,,,
480,0.98,3.45,10.73,480,-0.21,0.12,-0.28,,,
490,0.74,3.41,10.85,490,-0.24,0.09,-0.27,,,
500,0.67,3.48,10.88,500,-0.26,0.07,-0.26,,,
510,0.7,3.51,10.81,510,-0.28,0.05,-0.23,,,
520,0.77,3.52,11.04,520,-0.3,0.06,-0.21,,,
530,0.75,3.4,11.2,530,-0.3,0.09,-0.22,,,
540,0.93,3.43,11.36,540,-0.32,0.03,-0.19,,,
